Births by year and month per place of event city,,,
,,,
BOOK_YEAR,MTH,CITY,COUNT(*)
1917,Jan,ORANGEVILLE,7
1917,Jan,ORILLIA,19
1917,Jan,OSHAWA,31
1917,Jan,OTTAWA,245
1917,Jan,OWEN SOUND,26
1917,Jan,PALMERSTON,6
1917,Jan,PARIS,7
1917,Jan,PARRY SOUND,19
1917,Jan,PEEL TWP,6
1917,Jan,PEMBROKE,17
1917,Jan,PENETANGUISHENE,12
1917,Jan,PERTH,6
1917,Jan,PETERBOROUGH,33
1917,Jan,PETERBOROUGH TW,6
1917,Jan,PETROLIA,8
1917,Jan,PORT ARTHUR,49
1917,Jan,PORT COLBORNE,6
1917,Jan,PRESTON,10
1917,Jan,RALEIGH TWP,6
1917,Jan,RENFREW,9
1917,Jan,ROCKLAND,14
1917,Jan,SA S MARIE,7
1917,Jan,SANDWICH,12
1917,Jan,SANDWICH W T,13
1917,Jan,SARNIA,18
1917,Jan,SAULT STE MARIE,23
1917,Jan,SEYMOUR TWP,6
1917,Jan,SMITHS FALLS,13
1917,Jan,ST CATHARINES,40
1917,Jan,ST THOMAS,31
1917,Jan,STEELTON,12
1917,Jan,STRATFORD,24
1917,Jan,STURGEON FALLS,10
1917,Jan,SUDBURY,32
1917,Jan,SYDENHAM TWP,6
1917,Jan,TECUMSETH TWP,6
1917,Jan,THOROLD,12
1917,Jan,TILBURY EAST TW,10
1917,Jan,TIMMINS,6
1917,Jan,TINY TWP,6
1917,Jan,TORONTO,1112
1917,Jan,TRENTON,19
1917,Jan,VANKLEEK HILL,6
1917,Jan,VERNER,6
1917,Jan,VESPRA TWP,6
1917,Jan,W HAWKESBURY,9
1917,Jan,WAINFLEET,8
1917,Jan,WALKERVILLE,10
1917,Jan,WALLACEBURG,9
1917,Jan,WATERLOO TWP,13
1917,Jan,WEBBWOOD,9
1917,Jan,WELLAND,24
1917,Jan,WELLESLEY TWP,15
1917,Jan,WINDSOR,64
1917,Jan,WOODSTOCK,18
1917,Jan,WOOLWICH TWP,7
1917,Jan,YORK TWP,65
1917,Jul,ALFRED,7
1917,Jul,AMHERSTBURG,6
1917,Jul,ANDERDON TWP,6
1917,Jul,ARNPRIOR,11
1917,Jul,BARRIE,19
1917,Jul,BARTON TWP,7
1917,Jul,BELLEVILLE,28
1917,Jul,BLIND RIVER,6
1917,Jul,BONFIELD TWP,7
1917,Jul,BOSANQUET TWP,9
1917,Jul,BRANTFORD,70
1917,Jul,BRANTFORD TWP,8
1917,Jul,BROCKVILLE,20
1917,Jul,BRUCE TWP,6
1917,Jul,BURLINGTON,8
1917,Jul,BYNG INLET,7
1917,Jul,CALEDON TWP,8
1917,Jul,CAMDEN TWP,6
1917,Jul,CAMPBELLFORD,9
1917,Jul,CARLETON PLACE,6
1917,Jul,CHATHAM,28
1917,Jul,CHATHAM TWP,12
1917,Jul,CLARENCE TWP,8
1917,Jul,COBALT,20
1917,Jul,COCHRANE,18
